Match No,Day,Time,Team 1,Team 2,Winner,Score,Map,Referee
1,1,5,Redfly Esports A,NEXT WAVE,,,,
2,1,5,Rizwarriors,ClutchGod,,,,
3,1,5,moosayum pillerum,limbu ka nimbu,,,,
4,1,5,CAT,Team Synergy,,,,
5,1,5,FATAL LEGIONX,MAG,,,,
6,1,5,MYSTIQUE,Akatsuki,,,,
7,1,6,natus vicere,FLY,,,,
8,1,6,Drip Esports,XTRIDZ,,,,
9,1,6,DEXO,The infamous cult,,,,
10,1,6,Team FL4RE,HighTableGaming,,,,
11,1,6,KariMeme Klan,Justice  League,,,,
12,1,6,Synced Elo Gaming,Nimboo Pani,,,,
13,1,6,Redfly Esports B,7TH ZEN,,,,
14,1,6,Team Zyrofist,Saitama,,,,
15,1,9,Ello,Team Chorappor,,,,
16,1,9,Adholokam,ProudlyBronze,,,,
17,2,7,Redfly Esports A,ClutchGod,,,,
18,2,9,MAG,Akatsuki,,,,
19,2,5,7TH ZEN,Saitama,,,,
20,2,12,Ello,Drip esports / DRP,,,,
21,2,7,DEXO,HighTableGaming,,,,
22,2,5,Adholokam,Team Synergy,,,,
23,2,7,moosayum pillerum,FLY,,,,
24,2,7,KariMeme Klan,Nimboo Pani,,,,
25,3,5,MAG,Saitama,,,,
26,3,5,Team Synergy,Nimboo Pani,,,,
27,3,6,Drip Esports,HighTableGaming,,,,
28,3,7,FLY,ClutchGod,,,,
29,4,5.5,MAG,Nimboo Pani,,,,
30,4,2,ClutchGod,HighTableGaming,,,,
